;Q001;Q002;Q003;Q004;Q005;Q006;Q007;Q008;Q009;Q010;Q011;Q012;Q013;Q014;Q015;Q016;Q017;Q018;Q019;Q020;Q021;Q022;Q023;Q024;Q025;SG_UF_ESC;SG_UF_PROVA;TP_LINGUA;TP_SEXO;IN_TREINEIRO;TP_ANO_CONCLUIU;TP_COR_RACA;TP_DEPENDENCIA_ADM_ESC;TP_ENSINO;TP_ESCOLA;TP_ESTADO_CIVIL;TP_FAIXA_ETARIA;TP_LOCALIZACAO_ESC;TP_NACIONALIDADE;TP_SIT_FUNC_ESC;TP_ST_CONCLUSAO
2553004;G;E;D;D;4;C;A;B;C;A;A;B;A;A;A;A;A;A;B;A;A;C;A;A;B;;PE;0;M;0;1.0;3.0;;;;1.0;3;;1.0;;1
911199;C;C;C;B;5;D;A;B;B;A;A;B;B;B;A;A;A;A;B;A;A;D;A;A;B;;MG;0;M;1;;3.0;;;;1.0;2;;1.0;;3
2273188;G;G;E;E;4;P;A;E;C;B;A;B;B;B;A;B;A;B;C;B;B;E;A;E;B;;AC;0;M;1;;3.0;;;;1.0;1;;1.0;;3
150405;E;;E;;4;B;A;B;C;B;B;B;A;B;A;B;A;A;B;A;A;C;A;B;B;GO;GO;1;M;0;;3.0;2.0;1.0;2.0;1.0;4;1.0;1.0;1.0;2
1162281;E;E;C;B;5;J;A;C;D;B;B;B;B;B;A;A;A;A;B;A;A;E;A;B;B;;MA;1;M;1;;3.0;;;;1.0;2;;1.0;;3
331601;D;E;C;B;3;J;A;C;C;B;A;B;B;B;B;B;A;B;C;A;B;D;A;B;B;RS;RS;0;F;0;;1.0;2.0;1.0;2.0;1.0;2;1.0;1.0;1.0;2
842446;B;B;A;A;1;B;A;B;C;A;A;B;A;B;A;B;A;A;B;A;A;B;A;B;B;;MA;1;F;0;11.0;1.0;;;;1.0;12;;1.0;;1
2553091;E;E;C;D;4;F;A;B;D;B;B;B;B;B;B;B;A;B;B;A;B;E;A;B;B;;SC;0;M;1;;1.0;;;;1.0;1;;1.0;;3
2058476;C;E;D;B;6;C;A;D;C;B;A;B;B;B;B;A;A;A;C;A;A;E;A;A;B;AM;AM;1;M;0;;1.0;2.0;1.0;2.0;1.0;2;1.0;4.0;1.0;2
460262;D;E;D;D;7;G;A;E;E;C;A;C;C;B;B;B;A;B;D;B;B;E;B;E;B;;MG;0;F;0;2.0;3.0;;;;1.0;5;;1.0;;1
